Lattitude,Longitude
25.38312083,44.99923616
25.37340619,45.01235538
25.35883424,45.02546822
25.34183364,45.03857787
25.32726169,45.04906432
25.30783242,45.05954438
25.29083182,45.07790683
25.27140255,45.09363968
25.2568306,45.11463171
25.23982999,45.13036776
25.22040073,45.1513534
25.19854281,45.17496226
25.1815422,45.19595109
25.16697025,45.21169033
25.14511233,45.24317837
25.13054038,45.27204958
25.11111111,45.30091441
25.09168185,45.32977925
25.06982392,45.35076171
25.05039466,45.36386817
25.03339405,45.38223061
25.01396478,45.40321626
24.99210686,45.42157232
24.97024894,45.43730199
24.94110504,45.45302209
24.91681846,45.47006176
24.88767456,45.49760064
24.87553127,45.51859586
24.86095932,45.54484068
24.84638737,45.5684591
24.82938676,45.60520631
24.81481481,45.62357194
24.80024287,45.65244315
24.78809957,45.67606476
24.77352763,45.69968318
24.75409836,45.7364272
24.74438373,45.760052
24.72738312,45.79023322
24.70309654,45.81252569
24.68366727,45.82825855
24.66180935,45.849241
24.6472374,45.86760664
24.63509411,45.88597546
24.62537948,45.8833363
24.61566485,45.88857634
24.60837887,45.89381956
24.59866424,45.8938068
24.58652095,45.89116446
24.57680631,45.89640449
24.56466302,45.90164134
24.55251973,45.91475737
24.54037644,45.9278734
24.53066181,45.93311343
24.53309047,45.91735825
24.53794778,45.89635346
24.54523376,45.87009908
24.55494839,45.84910067
24.56709168,45.84386383
24.58409229,45.84913895
24.6010929,45.86229325
24.62295082,45.87020114
24.63266545,45.86233471
24.63266545,45.84132355
24.63023679,45.82293559
24.62780814,45.80454763
24.62659381,45.78878767
24.63509411,45.77041406
24.64238009,45.75466526
24.65452338,45.73892284
24.67152398,45.72975278
24.68609593,45.72189273
24.69823922,45.71140309
24.71038251,45.69040788
24.72495446,45.66941585
24.73952641,45.63397865
24.7516697,45.60247785
24.76624165,45.57885943
24.78324226,45.54999141
24.80267152,45.52243977
24.81724347,45.50013455
24.83667274,45.4791489
24.85124469,45.46078327
24.87067395,45.43848442
24.88767456,45.42143518
24.90953248,45.40176592
24.92653309,45.38209028
24.94596236,45.36110463
24.96296296,45.3374894
24.98239223,45.31519056
24.99939284,45.29026213
25.01639344,45.27189968
25.02610808,45.25352767
25.03339405,45.23121288
25.03825137,45.21414769
25.02853673,45.20362935
25.01639344,45.2062398
25.00425015,45.21935583
24.99939284,45.23510782
24.9896782,45.25347983
24.97753491,45.26396947
24.96296296,45.25607115
24.9605343,45.23768319
24.95810565,45.21666884
24.9435337,45.20351773
24.92653309,45.2061218
24.91681846,45.21530142
24.90710383,45.22448105
24.88767456,45.2428403
24.86824529,45.26382595
24.856102,45.28482117
24.8391014,45.31106279
24.81481481,45.35305322
24.78324226,45.3897813
24.75652702,45.41338377
24.72738312,45.44748864
24.69823922,45.4842199
24.66909532,45.51832477
24.63995143,45.55505603
24.61566485,45.60492565
24.59623558,45.6232849
24.57437766,45.63901457
24.54766242,45.64423228
24.53794778,45.6520987
24.52580449,45.68097311
24.51851852,45.7046011
24.51851852,45.71773307
24.52337583,45.72036585
24.53551913,45.715129
24.55251973,45.70727214
24.57680631,45.70205124
24.6010929,45.69945674
24.60837887,45.7020927
24.60595021,45.7099687
24.6010929,45.71521511
24.58894961,45.72045196
24.56952034,45.72436604
24.54523376,45.73352653
24.52580449,45.7413802
24.50637523,45.75711305
24.48937462,45.7728491
24.47237401,45.78595875
24.45537341,45.80694759
24.44808743,45.82269639
24.44080146,45.8358188
24.42137219,45.85023846
24.40680024,45.85415892
24.38737098,45.86726538
24.37037037,45.88300143
24.35336976,45.89873747
24.34122647,45.9144799
24.32908318,45.93153552
24.31693989,45.94071196
24.29993928,45.95382161
24.28536733,45.96168166
24.26836673,45.96428573
24.25379478,45.96426659
24.23922283,45.95374188
24.22465088,45.94059076
24.21250759,45.93006924
24.2003643,45.9234873
24.18822101,45.91165258
24.17607772,45.90113105
24.17364906,45.8774903
24.16879174,45.86172555
24.15907711,45.85120721
24.15179114,45.85382404
24.13964784,45.86431367
24.11536126,45.88266655
24.08378871,45.90363625
24.0667881,45.91411951
24.05221615,45.92460595
24.04007286,45.9298428
24.03278689,45.92458044
24.03521554,45.91407804
24.04735883,45.9088412
24.05950213,45.90097796
24.08621736,45.88000188
24.13236187,45.85117213
24.1712204,45.830212
24.20522162,45.80399269
24.23436551,45.78039341
24.25865209,45.75416135
24.28293868,45.73580848
24.29751063,45.72532203
24.31451123,45.6990804
24.32786885,45.68465277
24.35336976,45.67024108
24.38494232,45.64927138
24.41408622,45.63092489
24.44080146,45.6152016
24.46023072,45.59684235
24.4845173,45.57586308
24.51851852,45.54439098
24.54766242,45.51422571
24.56709168,45.48667407
24.58652095,45.46174883
24.60595021,45.43944999
24.61080753,45.42895079
24.62537948,45.40795876
24.64480874,45.38697311
24.66180935,45.37123706
24.68123862,45.34237223
24.69581056,45.33188579
24.71766849,45.31090333
24.73709775,45.29648367
24.74924104,45.28074124
24.77352763,45.26501476
24.8099575,45.24011185
24.84881603,45.21127253
24.88038859,45.19292922
24.9143898,45.16933632
24.95081967,45.14837299
24.99453552,45.13267203
25.02853673,45.11433191
25.06982392,45.09600137
25.11353977,45.07767401
25.14511233,45.0593307
25.15725562,45.05409386
25.15968427,45.05672344
25.15846995,45.06722743
25.16454159,45.0698618
25.16939891,45.06986817
25.18882817,45.0646409
25.21554341,45.05679679
25.24225865,45.04895269
25.26411658,45.03584942
25.29083182,45.01749973
25.3151184,45.00439965
25.332119,44.99916919
25.34911961,44.98868593
25.37097753,44.97558266
25.38797814,44.95722021
25.39283546,44.96773217
25.38554948,44.99398656